symbol,date,price
Real,Mar 70,47.21657246
Real,Apr 70,47.4848377
Real,May 70,61.65566091
Real,Jun 70,53.38669451
Real,Jul 70,50.09188129
Real,Aug 70,43.96193646
Real,Sep 70,44.31074339
Real,Oct 70,43.16823788
Real,Nov 70,37.45391652
Real,Dec 70,33.57207994
Real,Jan 71,35.70842748
Real,Feb 71,36.02249227
Real,Mar 71,44.05683388
Real,Apr 71,46.2711107
Real,May 71,57.3583353
Real,Jun 71,51.23759749
Real,Jul 71,54.36951581
Real,Aug 71,48.98309716
Real,Sep 71,48.85590035
Real,Oct 71,48.13430205
Real,Nov 71,33.61359878
Real,Dec 71,33.64920237
Real,Jan 72,35.49527032
Real,Feb 72,35.89367168
Real,Mar 72,45.63670317
Real,Apr 72,46.8779742
